customer_id,age,banked_flag,job_category,housing_type,dependents,employment_years,residence_years,loan_amount,duration_months,interest_rate,existing_monthly_obligation,average_monthly_inflow,average_monthly_outflow,emi,net_monthly_surplus,emi_coverage_ratio,loan_to_income_ratio,existing_obligation_ratio,dependent_ratio,employment_stability_score,income_variance_index,residence_stability_score,digital_behavior_score,location_type,digital_risk_score,purpose,credit_risk
CUST0076,24,0,2,2,1,0,1,1006,12,0.14,92.76,1297,992.59,90.33,121.32,2.34,0.78,0.07,0.14,0.28,0.44,0.26,0.7,1,0.42,0,1
CUST0077,21,0,1,0,1,1,3,545,6,0.16,43.26,1108,801.32,95.12,168.3,2.77,0.49,0.04,0.25,0.28,0.42,0.34,0.6,1,0.51,0,1
CUST0078,24,0,1,2,0,1,1,941,12,0.17,99.64,1682,1296.17,85.82,200.37,3.33,0.56,0.06,0.0,0.18,0.36,0.28,0.64,1,0.59,0,1
CUST0079,23,0,2,0,0,1,4,1373,6,0.16,47.85,890,625.44,239.63,-22.92,0.9,1.54,0.05,0.0,0.23,0.4,0.33,0.43,1,0.55,0,1
CUST0080,23,0,1,0,0,0,3,704,6,0.17,87.95,1159,903.14,123.22,44.69,1.36,0.61,0.08,0.0,0.19,0.58,0.32,0.63,1,0.63,0,1
CUST0081,25,0,2,2,0,1,1,1260,12,0.17,106.88,1497,1175.71,114.92,99.49,1.87,0.84,0.07,0.0,0.24,0.37,0.32,0.41,1,0.51,0,1
CUST0082,22,0,1,2,1,2,1,1221,6,0.15,35.61,878,641.69,212.5,-11.8,0.94,1.39,0.04,0.2,0.17,0.38,0.42,0.5,1,0.61,0,1
CUST0083,20,0,1,2,1,2,2,1045,12,0.19,70.74,840,601.32,96.3,71.64,1.74,1.24,0.08,0.33,0.32,0.37,0.36,0.5,1,0.5,0,1
CUST0084,24,0,2,0,1,0,2,1016,12,0.2,62.61,1090,837.93,94.12,95.34,2.01,0.93,0.06,0.14,0.3,0.63,0.28,0.51,1,0.64,0,1
CUST0085,20,0,1,2,2,1,1,1042,12,0.14,143.16,1486,1020.01,93.56,229.27,3.45,0.7,0.1,0.67,0.27,0.42,0.23,0.42,1,0.65,0,1
CUST0086,19,0,1,2,2,0,4,615,6,0.14,97.25,1319,1012.71,106.73,102.31,1.96,0.47,0.07,1.0,0.38,0.57,0.21,0.51,1,0.62,0,1
CUST0087,25,0,2,2,0,2,2,933,12,0.19,110.41,1425,973.25,85.98,255.36,3.97,0.65,0.08,0.0,0.29,0.48,0.39,0.63,1,0.55,0,1
CUST0088,24,0,1,0,2,0,3,406,12,0.19,66.52,1789,1331.5,37.42,353.56,10.45,0.23,0.04,0.29,0.36,0.61,0.27,0.63,1,0.48,0,0
CUST0089,20,0,2,0,0,1,3,354,12,0.13,76.73,1650,1213.31,31.62,328.34,11.38,0.21,0.05,0.0,0.4,0.46,0.21,0.68,1,0.65,0,0
CUST0090,23,0,1,0,0,1,4,1725,6,0.18,117.65,1610,1174.9,302.78,14.67,1.05,1.07,0.07,0.0,0.38,0.36,0.25,0.44,1,0.68,0,1
CUST0091,24,0,2,0,1,0,1,788,12,0.17,31.4,913,690.12,71.87,119.61,2.66,0.86,0.03,0.14,0.36,0.5,0.33,0.59,1,0.57,0,1
CUST0092,20,0,2,0,2,1,2,1468,12,0.14,73.18,1098,838.43,131.81,54.58,1.41,1.34,0.07,0.67,0.24,0.64,0.34,0.64,1,0.55,0,1
CUST0093,18,0,2,0,2,1,3,819,6,0.15,56.21,1199,793.12,142.53,207.14,2.45,0.68,0.05,1.0,0.31,0.38,0.35,0.63,1,0.44,0,1
CUST0094,23,0,2,0,2,1,4,1593,6,0.19,114.61,1359,897.93,280.41,66.05,1.24,1.17,0.08,0.33,0.26,0.44,0.21,0.46,1,0.41,0,1
CUST0095,22,0,2,2,1,0,2,885,12,0.19,100.72,1327,873.33,81.56,271.39,4.33,0.67,0.08,0.2,0.22,0.59,0.31,0.52,1,0.53,0,1
CUST0096,24,0,1,2,2,1,3,1932,12,0.19,40.75,1147,887.32,178.05,40.88,1.23,1.68,0.04,0.29,0.3,0.6,0.34,0.5,1,0.42,0,1
CUST0097,22,0,2,2,0,2,4,1019,12,0.13,60.86,1113,888.07,91.01,73.06,1.8,0.92,0.05,0.0,0.4,0.43,0.45,0.68,1,0.42,0,1
CUST0098,24,0,1,0,0,2,4,371,6,0.13,65.21,1172,916.91,64.2,125.68,2.96,0.32,0.06,0.0,0.25,0.52,0.35,0.6,1,0.68,0,1
CUST0099,23,0,1,0,2,1,4,943,12,0.15,102.2,1254,839.28,85.11,227.41,3.67,0.75,0.08,0.33,0.27,0.47,0.34,0.48,1,0.48,0,1
CUST0100,25,0,2,2,0,0,2,451,12,0.14,101.7,1019,785.93,40.49,90.88,3.24,0.44,0.1,0.0,0.35,0.64,0.45,0.6,1,0.61,0,1
CUST0101,34,1,3,1,0,8,4,10922,36,0.11,674.46,5220,3638.48,357.57,549.49,2.54,2.09,0.13,0.0,0.56,0.25,0.59,0.64,0,0.32,0,0
CUST0102,34,1,2,2,1,6,6,13612,24,0.13,202.59,3531,2346.94,647.14,334.33,1.52,3.85,0.06,0.06,0.74,0.28,0.61,0.67,0,0.29,0,0
CUST0103,34,1,2,2,1,7,3,7034,36,0.11,462.34,5620,2995.07,230.28,1932.31,9.39,1.25,0.08,0.06,0.68,0.22,0.74,0.72,0,0.41,0,0
CUST0104,30,1,3,2,2,5,7,13740,12,0.12,548.39,3804,2030.3,1220.78,4.53,1.0,3.61,0.14,0.15,0.54,0.28,0.68,0.65,0,0.41,0,1
CUST0105,35,1,2,2,0,8,7,9336,36,0.11,354.22,3168,1946.51,305.65,561.62,2.84,2.95,0.11,0.0,0.51,0.33,0.64,0.66,0,0.28,0,0
CUST0106,29,1,3,1,1,3,3,7589,24,0.12,487.73,5805,3441.72,357.24,1518.31,5.25,1.31,0.08,0.08,0.54,0.32,0.58,0.75,0,0.29,0,0
CUST0107,32,1,3,2,1,4,6,7007,24,0.12,194.64,3535,1867.1,329.84,1143.42,4.47,1.98,0.06,0.07,0.74,0.32,0.6,0.74,0,0.43,0,0
CUST0108,31,1,3,2,0,6,7,12648,24,0.14,316.62,5366,3216.78,607.27,1225.33,3.02,2.36,0.06,0.0,0.6,0.24,0.56,0.65,0,0.21,0,0
CUST0109,30,1,3,1,2,3,3,12060,12,0.14,635.34,5027,3244.94,1082.83,63.89,1.06,2.4,0.13,0.15,0.59,0.23,0.64,0.55,0,0.34,0,1
CUST0110,27,1,3,1,2,8,7,6946,12,0.14,593.32,4582,2651.97,623.66,713.05,2.14,1.52,0.13,0.2,0.58,0.34,0.69,0.55,0,0.33,0,0
CUST0111,34,1,2,2,0,8,5,12761,36,0.12,321.31,3164,1965.64,423.85,453.2,2.07,4.03,0.1,0.0,0.58,0.27,0.54,0.75,0,0.38,0,0
CUST0112,30,1,3,1,2,7,5,12780,12,0.11,803.73,5431,3447.39,1129.52,50.36,1.04,2.35,0.15,0.15,0.65,0.31,0.68,0.67,0,0.21,0,1
CUST0113,33,1,2,2,2,6,4,13589,36,0.13,359.73,4087,2676.66,457.87,592.74,2.29,3.32,0.09,0.12,0.71,0.2,0.64,0.68,0,0.25,0,0
CUST0114,33,1,3,2,1,8,4,11723,36,0.13,588.12,4284,2930.7,394.99,370.19,1.94,2.74,0.14,0.06,0.68,0.16,0.53,0.55,0,0.28,0,0
CUST0115,33,1,3,1,0,6,7,10608,36,0.11,629.02,5152,3371.46,347.29,804.23,3.32,2.06,0.12,0.0,0.66,0.29,0.65,0.55,0,0.26,0,0
CUST0116,34,1,2,1,1,8,4,13011,24,0.12,605.64,4222,2584.28,612.47,419.61,1.69,3.08,0.14,0.06,0.68,0.21,0.64,0.64,0,0.42,0,0
CUST0117,32,1,2,1,0,5,3,10674,24,0.13,315.08,4413,2866.1,507.46,724.36,2.43,2.42,0.07,0.0,0.71,0.2,0.64,0.57,0,0.23,0,0
CUST0118,35,1,2,2,2,7,4,8814,12,0.1,387.02,3980,2252.91,774.89,565.18,1.73,2.21,0.1,0.11,0.67,0.18,0.74,0.74,0,0.24,0,0
CUST0119,33,1,2,1,1,5,3,6465,36,0.12,606.05,4955,3007.84,214.73,1126.38,6.25,1.3,0.12,0.06,0.73,0.33,0.54,0.72,0,0.24,0,0
CUST0120,26,1,3,2,2,5,3,5151,24,0.12,686.03,4626,2412.27,242.48,1285.22,6.3,1.11,0.15,0.22,0.57,0.35,0.64,0.62,0,0.43,0,0
CUST0121,34,1,3,2,0,5,4,12518,36,0.11,608.05,4917,2641.61,409.82,1257.52,4.07,2.55,0.12,0.0,0.7,0.26,0.69,0.54,0,0.41,0,0
CUST0122,32,1,3,2,1,8,3,8027,12,0.12,240.79,4751,3264.72,713.19,532.3,1.75,1.69,0.05,0.07,0.6,0.24,0.57,0.58,0,0.35,0,0
CUST0123,35,1,3,1,2,4,3,6936,24,0.11,305.37,3046,1769.98,323.27,647.38,3.0,2.28,0.1,0.11,0.72,0.29,0.58,0.53,0,0.43,0,0
CUST0124,30,1,2,2,0,6,4,12454,36,0.14,541.47,4505,2589.14,425.65,948.74,3.23,2.76,0.12,0.0,0.73,0.3,0.7,0.71,0,0.39,0,0
CUST0125,35,1,3,1,0,7,3,6011,36,0.14,345.73,3335,1802.34,205.44,981.49,5.78,1.8,0.1,0.0,0.54,0.32,0.61,0.67,0,0.38,0,0
CUST0126,33,1,3,2,1,4,7,11806,24,0.12,395.46,3372,2062.85,555.75,357.94,1.64,3.5,0.12,0.06,0.58,0.15,0.56,0.5,0,0.25,0,0
CUST0127,27,1,3,1,2,3,7,5987,12,0.14,250.69,3185,1893.21,537.56,503.54,1.94,1.88,0.08,0.2,0.54,0.18,0.66,0.68,0,0.44,0,0
CUST0128,31,1,3,1,1,3,7,7178,36,0.13,681.63,4566,2391.34,241.86,1251.17,6.17,1.57,0.15,0.07,0.6,0.18,0.74,0.71,0,0.39,0,0
CUST0129,30,1,3,1,0,4,6,10671,12,0.11,599.77,4896,3365.91,943.12,-12.8,0.99,2.18,0.12,0.0,0.53,0.31,0.6,0.69,0,0.42,0,1
CUST0130,26,1,2,2,0,7,3,12314,36,0.13,296.78,3985,2687.65,414.91,585.66,2.41,3.09,0.07,0.0,0.51,0.24,0.63,0.69,0,0.39,0,0
CUST0131,28,1,3,2,2,7,5,14461,36,0.13,373.09,5063,3360.19,487.25,842.47,2.73,2.86,0.07,0.18,0.72,0.35,0.63,0.6,0,0.27,0,0
CUST0132,34,1,2,1,2,6,3,10642,36,0.13,444.0,5423,3563.78,358.57,1056.65,3.95,1.96,0.08,0.12,0.6,0.18,0.59,0.69,0,0.32,0,0
CUST0133,29,1,2,1,0,7,6,11824,36,0.12,319.44,4231,2444.18,392.73,1074.65,3.74,2.79,0.08,0.0,0.58,0.17,0.61,0.59,0,0.33,0,0
CUST0134,29,1,3,1,2,7,7,5647,12,0.11,393.12,3211,2094.66,499.09,224.13,1.45,1.76,0.12,0.17,0.64,0.25,0.72,0.58,0,0.44,0,1
CUST0135,26,1,2,2,2,6,4,14902,36,0.11,406.84,3867,2641.26,487.87,331.03,1.68,3.85,0.11,0.22,0.69,0.23,0.63,0.59,0,0.27,0,0
CUST0136,34,1,3,2,2,6,5,8328,24,0.11,686.95,5036,2564.04,388.15,1396.86,4.6,1.65,0.14,0.12,0.69,0.15,0.64,0.65,0,0.38,0,0
CUST0137,30,1,2,1,0,6,7,9026,24,0.12,303.53,3624,2495.82,424.89,399.76,1.94,2.49,0.08,0.0,0.69,0.25,0.68,0.68,0,0.32,0,0
CUST0138,31,1,2,1,0,7,3,13584,12,0.13,486.74,3693,1901.4,1213.29,91.57,1.08,3.68,0.13,0.0,0.51,0.15,0.53,0.66,0,0.22,0,1
CUST0139,28,1,2,1,1,3,7,12916,36,0.12,319.38,3037,1522.52,429.0,766.1,2.79,4.25,0.11,0.09,0.5,0.26,0.57,0.74,0,0.2,0,0
CUST0140,32,1,2,2,2,4,4,8144,36,0.12,286.52,3734,2475.8,270.5,701.18,3.59,2.18,0.08,0.13,0.6,0.22,0.6,0.64,0,0.45,0,0
CUST0141,29,1,2,2,0,6,6,11179,36,0.12,508.56,4228,2652.43,371.3,695.71,2.87,2.64,0.12,0.0,0.52,0.32,0.66,0.58,0,0.44,0,0
CUST0142,27,1,2,2,0,8,7,12790,24,0.1,736.03,5163,2658.27,590.19,1178.51,3.0,2.48,0.14,0.0,0.72,0.26,0.51,0.73,0,0.28,0,0
CUST0143,29,1,2,1,0,5,4,14239,12,0.12,636.07,5404,3620.08,1265.12,-117.27,0.91,2.63,0.12,0.0,0.64,0.23,0.68,0.7,0,0.37,0,1
CUST0144,27,1,3,2,0,6,4,6245,24,0.12,553.39,5051,3145.63,293.97,1058.01,4.6,1.24,0.11,0.0,0.74,0.22,0.66,0.7,0,0.31,0,0
CUST0145,29,1,3,1,0,8,7,11227,12,0.13,332.69,4457,2491.8,1002.77,629.74,1.63,2.52,0.07,0.0,0.52,0.2,0.59,0.7,0,0.24,0,0
CUST0146,32,1,3,2,0,3,5,12286,24,0.13,252.36,4297,2236.36,584.1,1224.18,3.1,2.86,0.06,0.0,0.61,0.26,0.63,0.53,0,0.22,0,0
CUST0147,34,1,3,1,0,5,6,11353,12,0.13,504.69,3381,2068.86,1014.02,-206.57,0.8,3.36,0.15,0.0,0.56,0.25,0.67,0.54,0,0.27,0,1
CUST0148,30,1,2,2,0,6,5,11899,24,0.12,377.28,5019,2586.71,560.13,1494.88,3.67,2.37,0.08,0.0,0.56,0.28,0.65,0.55,0,0.23,0,0
CUST0149,30,1,3,1,2,6,5,12212,24,0.12,348.42,3027,2012.07,574.86,91.65,1.16,4.03,0.12,0.15,0.65,0.21,0.65,0.67,0,0.32,0,1
CUST0150,28,1,3,1,2,8,6,14435,12,0.11,595.48,4631,2575.11,1275.79,184.62,1.14,3.12,0.13,0.18,0.59,0.34,0.55,0.75,0,0.24,0,1
